rule_id,rule_string,lambda,D,gamma,population,classification,period
14128,"B0134/S458",0.045063,1.8869,3477.9804,8205,aperiodic,
14129,"B0134/S0458",0.045070,1.8893,3682.3007,8302,aperiodic,
14130,"B0134/S1458",0.044978,1.8895,3657.8105,8341,aperiodic,
14131,"B0134/S01458",0.045024,1.8895,3649.3366,8376,aperiodic,
14132,"B0134/S2458",0.044992,1.8973,3954.3203,8695,aperiodic,
14133,"B0134/S02458",0.045104,1.8948,4001.9609,8618,aperiodic,
14134,"B0134/S12458",0.044970,1.8982,4287.3820,8798,aperiodic,
14135,"B0134/S012458",0.045071,1.8958,3933.8301,8714,aperiodic,
14136,"B0134/S3458",0.044957,1.9096,4341.4707,9307,aperiodic,
14137,"B0134/S03458",0.044975,1.9115,4115.1504,9410,aperiodic,
14138,"B0134/S13458",0.044926,1.9145,4293.6406,9573,aperiodic,
14139,"B0134/S013458",0.044933,1.9140,4292.6764,9543,aperiodic,
14140,"B0134/S23458",0.023125,1.9151,1560.2223,9467,periodic,4
14141,"B0134/S023458",0.023502,1.9151,-791.6718,9461,periodic,60
14142,"B0134/S123458",0.025530,1.9123,-6748.2734,9301,periodic,24
14143,"B0134/S0123458",0.026047,1.9132,-6130.3672,9350,periodic,24
14144,"B0134/S68",0.044844,1.8353,1475.4902,6384,aperiodic,
14145,"B0134/S068",0.044906,1.8417,2014.6406,6609,aperiodic,
14146,"B0134/S168",0.044925,1.8475,2136.1308,6835,aperiodic,
14147,"B0134/S0168",0.044957,1.8497,2267.9804,6928,aperiodic,
14148,"B0134/S268",0.044948,1.8552,2565.8105,7138,aperiodic,
14149,"B0134/S0268",0.045032,1.8535,2391.9967,7084,aperiodic,
14150,"B0134/S1268",0.045008,1.8661,2813.2025,7560,aperiodic,
14151,"B0134/S01268",0.045075,1.8677,2970.6601,7678,aperiodic,
14152,"B0134/S368",0.045028,1.8685,2781.1504,7563,aperiodic,
14153,"B0134/S0368",0.044991,1.8656,2860.3366,7475,aperiodic,
14154,"B0134/S1368",0.045031,1.8704,3054.9804,7688,aperiodic,
14155,"B0134/S01368",0.045029,1.8699,2808.4902,7647,aperiodic,
14156,"B0134/S2368",0.045114,1.8816,3355.8268,8160,aperiodic,
14157,"B0134/S02368",0.045075,1.8845,3503.6406,8303,aperiodic,
14158,"B0134/S12368",0.045161,1.8821,3380.4902,8199,aperiodic,
14159,"B0134/S012368",0.045040,1.8863,3601.1504,8401,aperiodic,
14160,"B0134/S468",0.044943,1.8703,2959.1667,7510,aperiodic,
14161,"B0134/S0468",0.045012,1.8702,2822.9804,7535,aperiodic,
14162,"B0134/S1468",0.045085,1.8805,3168.5228,7980,aperiodic,
14163,"B0134/S01468",0.045078,1.8799,3293.1667,7925,aperiodic,
14164,"B0134/S2468",0.045014,1.8879,3561.6406,8288,aperiodic,
14165,"B0134/S02468",0.045097,1.8890,3762.9804,8357,aperiodic,
14166,"B0134/S12468",0.045092,1.8936,3908.6406,8595,aperiodic,
14167,"B0134/S012468",0.045067,1.8928,3973.6406,8583,aperiodic,
14168,"B0134/S3468",0.045046,1.8972,3795.8105,8710,aperiodic,
14169,"B0134/S03468",0.045054,1.8980,3887.1504,8766,aperiodic,
14170,"B0134/S13468",0.045029,1.9017,4113.8301,8946,aperiodic,
14171,"B0134/S013468",0.044991,1.8993,4052.1504,8845,aperiodic,
14172,"B0134/S23468",0.044940,1.8997,4065.0617,8827,aperiodic,
14173,"B0134/S023468",0.045066,1.9069,4143.3203,9199,aperiodic,
14174,"B0134/S123468",0.043233,1.8981,-5968.7258,8476,aperiodic,
14175,"B0134/S0123468",0.043743,1.8967,-6031.8086,8398,aperiodic,
14176,"B0134/S568",0.044874,1.8544,2146.1667,6925,aperiodic,
14177,"B0134/S0568",0.044905,1.8565,2381.1504,7048,aperiodic,
14178,"B0134/S1568",0.044965,1.8695,2803.9804,7546,aperiodic,
14179,"B0134/S01568",0.045033,1.8697,2813.3007,7548,aperiodic,
14180,"B0134/S2568",0.045077,1.8796,3225.5065,7986,aperiodic,
14181,"B0134/S02568",0.045090,1.8791,3291.5228,7970,aperiodic,
14182,"B0134/S12568",0.045042,1.8844,3414.9804,8213,aperiodic,
14183,"B0134/S012568",0.045157,1.8872,3478.1504,8305,aperiodic,
14184,"B0134/S3568",0.045025,1.8982,4165.8105,8754,aperiodic,
14185,"B0134/S03568",0.044975,1.8971,4003.4707,8706,aperiodic,
14186,"B0134/S13568",0.045050,1.8979,4135.6569,8777,aperiodic,
14187,"B0134/S013568",0.045034,1.8999,4083.5065,8856,aperiodic,
14188,"B0134/S23568",0.044967,1.9057,4330.6406,9155,aperiodic,
14189,"B0134/S023568",0.045028,1.9066,4488.9804,9174,aperiodic,
14190,"B0134/S123568",0.045028,1.9062,4397.9967,9177,aperiodic,
14191,"B0134/S0123568",0.044929,1.9073,4348.1667,9220,aperiodic,
14192,"B0134/S4568",0.034127,1.9422,6346.8156,11276,periodic,60
14193,"B0134/S04568",0.036622,1.9422,10278.0511,11275,periodic,4
14194,"B0134/S14568",0.033814,1.9423,10997.4686,11283,periodic,12
14195,"B0134/S014568",0.031798,1.9421,6898.7416,11267,periodic,84
14196,"B0134/S24568",0.024221,1.9420,12497.0903,11259,periodic,60
14197,"B0134/S024568",0.027298,1.9426,12445.5541,11302,periodic,60
14198,"B0134/S124568",0.027465,1.9429,17679.0375,11326,periodic,12
14199,"B0134/S0124568",0.028934,1.9427,10356.8765,11309,periodic,84
14200,"B0134/S34568",0.013863,1.9354,96946.6439,10786,periodic,12
14201,"B0134/S034568",0.016094,1.9349,100503.4916,10751,periodic,6
14202,"B0134/S134568",0.013195,1.9346,140584.3516,10736,periodic,2
14203,"B0134/S0134568",0.014166,1.9350,119701.6686,10762,periodic,6
14204,"B0134/S234568",0.016479,1.9310,214433.1703,10485,periodic,2
14205,"B0134/S0234568",0.012425,1.9307,226069.5994,10470,periodic,2
14206,"B0134/S1234568",0.008959,1.9309,192154.9135,10483,periodic,2
14207,"B0134/S01234568",0.009730,1.9309,204765.8920,10478,periodic,2
14208,"B0134/S78",0.044823,1.8316,1561.0326,6339,aperiodic,
14209,"B0134/S078",0.044915,1.8443,1957.8301,6749,aperiodic,
14210,"B0134/S178",0.044843,1.8398,1829.3203,6677,aperiodic,
14211,"B0134/S0178",0.044908,1.8475,2167.5065,6944,aperiodic,
14212,"B0134/S278",0.045012,1.8457,2149.3561,6956,aperiodic,
14213,"B0134/S0278",0.044944,1.8466,2128.6080,6997,aperiodic,
14214,"B0134/S1278",0.044997,1.8460,2097.6601,7068,aperiodic,
14215,"B0134/S01278",0.045019,1.8496,2214.1341,7188,aperiodic,
14216,"B0134/S378",0.045045,1.8535,2466.1667,7197,aperiodic,
14217,"B0134/S0378",0.044974,1.8602,2605.9804,7401,aperiodic,
14218,"B0134/S1378",0.045012,1.8608,2544.4902,7481,aperiodic,
14219,"B0134/S01378",0.045036,1.8626,2616.3203,7541,aperiodic,
14220,"B0134/S2378",0.045022,1.8668,2916.4707,7741,aperiodic,
14221,"B0134/S02378",0.045010,1.8615,2743.4902,7588,aperiodic,
14222,"B0134/S12378",0.045070,1.8699,2996.4707,7920,aperiodic,
14223,"B0134/S012378",0.045029,1.8748,3124.8105,8141,aperiodic,
14224,"B0134/S478",0.045026,1.8630,2621.3203,7272,aperiodic,
14225,"B0134/S0478",0.044973,1.8631,2540.3203,7273,aperiodic,
14226,"B0134/S1478",0.045021,1.8708,2979.9804,7654,aperiodic,
14227,"B0134/S01478",0.044976,1.8704,3084.4707,7622,aperiodic,
14228,"B0134/S2478",0.045060,1.8744,3381.6406,7864,aperiodic,
14229,"B0134/S02478",0.045031,1.8717,2929.1504,7727,aperiodic,
14230,"B0134/S12478",0.045105,1.8769,3198.5065,8028,aperiodic,
14231,"B0134/S012478",0.044964,1.8809,3324.8464,8164,aperiodic,
14232,"B0134/S3478",0.045125,1.8853,3687.5065,8288,aperiodic,
14233,"B0134/S03478",0.045102,1.8829,3604.8105,8204,aperiodic,
14234,"B0134/S13478",0.045046,1.8856,3556.3366,8326,aperiodic,
14235,"B0134/S013478",0.044973,1.8867,3530.3203,8377,aperiodic,
14236,"B0134/S23478",0.045033,1.8898,3778.1504,8587,aperiodic,
14237,"B0134/S023478",0.044953,1.8870,3837.4707,8455,aperiodic,
14238,"B0134/S123478",0.044999,1.8959,3940.0000,8887,aperiodic,
14239,"B0134/S0123478",0.044991,1.9006,4021.9804,9123,aperiodic,
14240,"B0134/S578",0.044831,1.8469,2022.8105,6710,aperiodic,
14241,"B0134/S0578",0.044890,1.8531,2008.6764,6906,aperiodic,
14242,"B0134/S1578",0.045002,1.8614,2656.6406,7223,aperiodic,
14243,"B0134/S01578",0.044927,1.8641,2626.9804,7335,aperiodic,
14244,"B0134/S2578",0.045014,1.8741,3151.4707,7736,aperiodic,
14245,"B0134/S02578",0.045064,1.8745,3021.9804,7793,aperiodic,
14246,"B0134/S12578",0.044968,1.8814,3471.3203,8065,aperiodic,
14247,"B0134/S012578",0.044937,1.8816,3368.3203,8083,aperiodic,
14248,"B0134/S3578",0.044984,1.8843,3333.4707,8132,aperiodic,
